"feed url","website url",source,article
http://feeds.thestreet.com/tsc/feeds/rss/video/personal-finance,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/todays-market,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/energy,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/precious-metals,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/commodities,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/currencies,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/bonds-economy,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/upgrades-and-downgrades,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/winners-and-losers,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/insight-and-advice,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/technology,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/options-futures,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/business-news,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/video/options-report,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/biotech,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/adam-feuerstein,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/marek-fuchs,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/laurie-kulikowski,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/ted-reed,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://www.thestreet.com/feeds/rss/audio/taskaudio/index.xml,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://feeds.thestreet.com/tsc/feeds/rss/audio/wall-street-confidential,http://www.thestreet.com,test,http://www.thestreet.com/story/13461743/1/these-5-dividend-stocks-really-want-to-give-you-more-money.html
http://mentalfloss.com/rss.xml,http://mentalfloss.com,test,http://mentalfloss.com/article/75661/sneaky-way-your-salary-affects-your-credit-score
http://www.huffingtonpost.com/feeds/index.xml,http://www.huffingtonpost.com,test,http://www.huffingtonpost.com/mark-steber/tax-deductions-are-good-b_b_9254036.html
http://www.washingtonpost.com/wp-dyn/content/linkset/2005/03/24/LI2005032402294.html,http://www.huffingtonpost.com,test,http://www.huffingtonpost.com/mark-steber/tax-deductions-are-good-b_b_9254036.html
http://twocents.lifehacker.com/rss,http://twocents.lifehacker.com,test,http://twocents.lifehacker.com/how-to-be-frugal-without-wasting-your-time-1759480175
http://feeds.marketwatch.com/marketwatch/bulletins,http://www.marketwatch.com,test,http://www.marketwatch.com/story/investors-just-went-bonkers-so-you-know-its-time-to-buy-stocks-2016-02-18
